month,bab_return,ret_L_excess,ret_H_excess,ret_L_raw,ret_H_raw,beta_L,beta_H,n_low,n_high,n_total,rf,median_beta
2010-09,-0.002802064212029484,0.04443080136739466,0.09270573180562168,0.04443080136739466,0.09270573180562168,0.6753278826703843,1.3515232655371254,1563,1564,3127,0.0001,0.997763
2010-10,0.0007911302434607179,0.023091604331518516,0.045023550949620045,0.023091604331518516,0.045023550949620045,0.681303555202298,1.360140260143438,1605,1605,3210,0.0001,1.0060894999999999
2010-11,-0.01627397276126595,0.008372476672510575,0.03867639716763447,0.008372476672510575,0.03867639716763447,0.6881027530222523,1.3598601000585537,1617,1617,3234,0.0001,1.0039985
2010-12,-0.009933445038211308,0.03466860201823015,0.08186655125659191,0.03466860201823015,0.08186655125659191,0.6846545459835902,1.35160052375908,1652,1652,3304,0.0001,1.0002085
2011-01,0.007074341526778121,0.0007502023136450129,-0.008223629153362659,0.0007502023136450129,-0.008223629153362659,0.6989144460325273,1.3703857469989997,1652,1653,3305,0.0001,1.011031
2011-02,0.006225404330234021,0.01992851240511186,0.031209009558378444,0.01992851240511186,0.031209009558378444,0.6889835887876029,1.37490043036542,1668,1668,3336,0.0001,1.0157734999999999
2011-03,0.003049633779095475,0.02200372769389175,0.03903497201467848,0.02200372769389175,0.03903497201467848,0.6872653651447739,1.3475802105198351,1647,1647,3294,0.0001,1.0024985000000002
2011-04,0.017283630061006274,0.018552860981471797,0.013244853468123846,0.018552860981471797,0.013244853468123846,0.6853258352470891,1.3531779521443879,1652,1653,3305,0.0,1.003595
2011-05,0.021481040951144337,0.008019494702641036,-0.014576277576107827,0.008019494702641036,-0.014576277576107827,0.7133815797390376,1.4235314769148384,1645,1646,3291,0.0,1.053248
2011-06,0.004618832579086679,0.005195481089390382,0.0038464607689154273,0.005195481089390382,0.0038464607689154273,0.7179367384305938,1.4693199108310613,1651,1652,3303,0.0,1.074087
2011-07,-0.001261125871862931,-0.023663634231518838,-0.04716633802148067,-0.023663634231518838,-0.04716633802148067,0.7185642785610222,1.4892735846838379,1652,1652,3304,0.0,1.0797889999999999
2011-08,0.04464150384541692,-0.02883978300791469,-0.1128575149160777,-0.02883978300791469,-0.1128575149160777,0.6791274893593638,1.2956128427255449,1607,1608,3215,0.0001,0.988013
2011-09,0.0375574111285159,-0.04114550500930531,-0.12583682835517765,-0.04114550500930531,-0.12583682835517765,0.6747764144958857,1.2770915624541364,1589,1590,3179,0.0,0.973706
